Grapheme	IPA
j	+ j
ĩ	ĩ
ẽ	ẽ
^a	a
^b	b
^bh	bʱ
^bhj	bʱ j
^br	b r
^d	d
^dh	dʱ
^dj	d j
^j	j
^dz	dz
^dzh	dzʱ
^g	g
^gh	gʱ
^h	h
^hj	h j
^i	i
^j	j
^k	k
^kh	kʰ
^khj	kʰ j
^khl	kʰ l
^khr	kʰ r
^khts	kʰ !Ø/ə + ts
^l	l
^lj	l j
^m	m
^n	n
^nj	n j
^o	o
^p	p
^ph	pʰ
^phr	pʰ r
^pj	p j
^pl	p l
^r	r
^s	s
^sj	s j
^t	t
^ts	ts
^tsh	tsʰ
^tshj	tsʰ j
^tsj	ts j
^tsjh	tsʰ j
^u	u
^w	w
^ã	ã
^ŋ	ŋ
^ɖh	ɖʱ
^ɦ	ɦ
^ɦj	ɦ j
^ʈ	ʈ
^ʌi	ʌi
_	+
a	a
ai$	ai
au$	au
b	+ b
bdh	b + dʱ
bh	+ bʱ
br	+ b r
d	+ d
dh	+ dʱ
dj	+ dj
dz	+ dz
e	e
h	+ h
hj	+ h j
i	i
i:$	iː
iu$	j u
k	+ k
kh	+ kʰ
khj	+ kʰ j
khj	kʰ j
khl	+ kʰ l
kk	k + k
kkh	k + kʰ
kn	k + n
kts	k + ts
kɦ	k + ɦ
l	+ l
lj	l j
lkh	l + kʰ
ls	l + s
ls$	l + s
lw	l + w
m	+ m
m$	m
mb	m + b
mbh	m + bʱ
mk	m + k
ml	m + l
mm	m + m
mn	m + n
mp	m + p
mr	m + r
ms	m + s
mth	m + tʰ
mts	m + ts
mtsh	m + tsʰ
n	+ n
n$	n
nd	n + d
nj	+ n j
nj	+ n j
o	o
ou	ou
p	+ p
p$	p
pp	p + p
pt	p + t
pts	p + ts
ptsh	p + tsʰ
r	+ r
r$	r
rd	r + d
rm	r + m
rtsh	r + tsʰ
s	+ s
s$	s
sj	+ s j
t	+ t
t$	t
th	+ tʰ
ts	+ ts
ts$	ts
tsh	+ tsʰ
tsh$	tsʰ
tshj	+ tsʰ j
tsjh	tsʰ j
tsk	ts + k
u	u
ui	ui
ui$	ui
uĩ	uĩ
uĩ$	uĩ
w	+ w
ã	ã
õ	õ
ŋ	+ ŋ
ŋ$	ŋ
ŋk	ŋ + k
ŋkh	ŋ + kʰ
ŋkhj	ŋ + kʰ j
ŋkhr	ŋ + kʰ r
ŋl	ŋ + l
ŋm	ŋ + m
ŋp	ŋ + p
ŋs	ŋ + s
ŋʈ	ŋ + ʈ
ũ	ũ
ɖ	+ ɖ
ɖh	+ ɖʱ
ɗ	+ ɗ
ɗh	+ ɗʱ
ɦ	+ ɦ
ɦj	+ ɦ j
ʈ	+ ʈ
ʈ$	ʈ
ʉ	ʉ
ʌ	ʌ
ʌi	ʌi
